[397,0,1,366,836;
395,0,0,363,842;
513,20,28,337,702;
528,19,37,335,681;
1598,0,0,0,2;
482,0,0,359,759;
818,0,0,256,526;
291,5,7,393,904;
778,0,0,244,578;
489,7,8,333,763;
382,0,0,384,834;
912,0,0,199,489;
832,8,8,239,513;
692,1,2,289,616;
434,4,4,347,811;
796,0,0,229,575;
725,11,10,263,591;
578,3,2,302,715;
395,0,0,405,800;
332,6,12,387,863;
856,0,0,232,512;
403,8,9,368,812;
523,2,2,339,734;
386,0,0,384,830;
674,18,22,278,608;
294,0,0,403,903;
718,0,0,278,604;
408,1,3,352,836;
374,0,0,388,838;
525,5,7,337,726;
294,0,0,369,937;
380,0,0,403,817;
595,0,0,331,674;
977,0,0,182,441;
1014,11,19,192,364;
438,0,0,348,814;
303,0,0,388,909;
1127,6,5,138,324;
318,0,0,415,867;
733,5,6,241,615;
515,0,0,343,742;
415,0,0,375,810;
394,0,0,373,833;
517,0,0,321,762;
879,14,14,216,477;
715,0,0,284,601;
636,0,0,297,667;
1579,0,0,6,15;
795,0,0,235,570;
791,0,0,247,562;
304,0,0,367,929;
1597,0,0,0,3;
615,1,2,321,661;
1595,0,0,2,3;
743,12,15,262,568;
1595,0,0,3,2;
928,8,10,193,461;
394,0,0,353,853;
456,0,0,353,791;
895,0,0,244,461;
475,0,0,330,795;
1599,0,0,0,1;
426,0,0,353,821;
616,10,12,298,664;
418,0,0,366,816;
432,0,0,325,843;
428,8,16,348,800;
405,10,10,372,803;
431,1,1,372,795;
363,0,0,402,835;
957,7,9,177,450;
459,0,0,350,791;
773,0,0,237,590;
502,0,0,351,747;
521,10,9,311,749;
424,13,14,383,766;
722,0,0,287,591;
1592,0,0,2,6;
654,7,6,291,642;
799,15,14,229,543;
542,0,0,356,702;
467,1,2,337,793;
1079,0,0,178,343;
450,0,0,362,788;
604,0,0,320,676;
445,0,0,403,752;
418,0,0,374,808;
796,0,2,263,539;
291,0,0,402,907;
1598,0,0,1,1;
1173,22,22,114,269;
748,11,7,252,582;
620,0,0,317,663;
1599,0,0,1,0;
558,9,7,321,705;
810,6,4,243,537;
1218,0,0,113,269;
443,0,0,332,825;
316,3,10,416,855;
1585,0,0,3,12]
